Year,Economy Label,Mode Label,Direction Label,US dollars at current prices in millions,US dollars at current prices per capita,Percentage of total world,Percentage of Gross Domestic Product
1971,Jamaica,Flow,Outward,-1.0,-0.525,-0.006929,-0.05264
1971,Japan,Flow,Inward,210.0,1.973,1.474597,0.08744
1971,Japan,Flow,Outward,360.0,3.383,2.494361,0.14991
1971,Kenya,Flow,Inward,7.4,0.632,0.051962,0.26514
1971,"Korea, Republic of",Flow,Inward,42.0,1.279,0.294919,0.42409
1971,"Korea, Republic of",Flow,Outward,3.0,0.091,0.020786,0.03029
1971,Kuwait,Flow,Inward,0.01,0.013,7e-05,0.00026
1971,Lebanon,Flow,Inward,-0.08,-0.034,-0.000562,-0.00358
1971,Liberia,Flow,Inward,-33.96,-23.637,-0.238463,-10.17593
1971,Libya,Flow,Inward,70.78,31.766,0.497009,1.45025
1971,"China, Macao SAR",Flow,Inward,0.02,0.08,0.00014,0.01003
1971,Madagascar,Flow,Inward,1.08,0.16,0.007584,0.09491
1971,Malawi,Flow,Inward,9.6,1.988,0.06741,1.31775
1971,Malaysia,Flow,Inward,100.0,9.04,0.702189,2.35605
1971,Mali,Flow,Inward,-0.6,-0.099,-0.004213,-0.15667
1971,Malta,Flow,Inward,11.54,36.022,0.081033,4.21705
1971,Mauritania,Flow,Inward,4.04,3.419,0.028368,0.82454
1971,Mauritius,Flow,Inward,1.3,1.548,0.009128,0.56239
1971,Mexico,Flow,Inward,307.0,5.784,2.15572,0.61547
1971,Morocco,Flow,Inward,23.1,1.413,0.162206,0.46472
1971,Mozambique,Flow,Inward,0.03,0.003,0.000211,0.00067
1971,Oman,Flow,Inward,-0.27,-0.36,-0.001896,-0.08563
1971,Netherlands,Flow,Inward,752.9,57.264,5.286782,1.68889
1971,Netherlands,Flow,Outward,1319.12,100.329,9.139891,2.95902
1971,Netherlands Antilles,Flow,Inward,-29.9,-183.026,-0.209955,-12.25157
1971,Vanuatu,Flow,Inward,0.01,0.114,7e-05,0.02435
1971,New Zealand,Flow,Inward,110.0,38.317,0.772408,1.38579
1971,New Zealand,Flow,Outward,12.0,4.18,0.083145,0.15118
1971,Nicaragua,Flow,Inward,13.3,5.36,0.093391,1.09586
1971,Niger,Flow,Inward,-5.3,-1.143,-0.037216,-0.86955
1971,Nigeria,Flow,Inward,286.0,4.992,2.008261,0.83889
1971,Norway,Flow,Inward,94.0,24.07,0.660058,0.64458
1971,Norway,Flow,Outward,32.0,8.194,0.221721,0.21943
1971,Pakistan,Flow,Inward,1.0,0.017,0.007022,0.00716
1971,"Panama, excluding Canal Zone",Flow,Inward,197.1,126.096,1.384015,14.99024
1971,Papua New Guinea,Flow,Inward,47.49,16.666,0.33347,3.8764
1971,Paraguay,Flow,Inward,7.1,2.8,0.049855,0.93393
1971,Peru,Flow,Inward,-3.22,-0.233,-0.02261,-0.04952
1971,Philippines,Flow,Inward,21.59,0.586,0.151603,0.26301
1971,Portugal,Flow,Inward,56.0,6.437,0.393226,0.60842
1971,Qatar,Flow,Inward,27.34,228.953,0.191978,3.83159
1971,Rwanda,Flow,Inward,1.7,0.439,0.011937,0.62082
1971,Saudi Arabia,Flow,Inward,-111.44,-18.267,-0.78252,-1.55105
1971,Senegal,Flow,Inward,9.8,2.234,0.068815,0.7698
1971,Seychelles,Flow,Inward,1.81,33.697,0.01271,6.81942
1971,Sierra Leone,Flow,Inward,5.2,1.858,0.036514,1.07237
1971,Singapore,Flow,Inward,116.0,54.951,0.814539,5.10659
1971,Viet Nam,Flow,Inward,1.82,0.041,0.01278,0.06019
1971,Somalia,Flow,Inward,1.7,0.49,0.011937,0.48986
1971,South Africa,Flow,Inward,260.061,11.474,1.826119,1.26296
1971,South Africa,Flow,Outward,29.362,1.295,0.203441,0.14259
1971,Zimbabwe,Flow,Inward,21.84,3.988,0.153358,0.80837
1971,"Yemen, Democratic",Flow,Inward,-0.22,-0.035,-0.001545,-0.15532
1971,Spain,Flow,Inward,202.0,5.895,1.418422,0.43331
1971,Spain,Flow,Outward,25.0,0.73,0.173219,0.05363
1971,Suriname,Flow,Inward,-6.8,-18.417,-0.047749,-1.74774
1971,Sweden,Flow,Inward,84.1,10.388,0.590541,0.20233
1971,Sweden,Flow,Outward,175.58,21.688,1.216555,0.42241
1971,Thailand,Flow,Inward,38.865,1.024,0.272908,0.50542
1971,Togo,Flow,Inward,4.6,2.105,0.032301,1.3271
1971,Trinidad and Tobago,Flow,Inward,103.3,108.082,0.725361,11.4883
1971,United Arab Emirates,Flow,Inward,6.94,25.012,0.048732,0.4746
